,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
6282,42101811371-9,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
6283,42101809717-4,M,Açu,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2017
6284,42101830237-3,M,Campinas,SP,1-Mestrado/Doutorado,1,Campinas - SP,2017
6285,42101834101-7,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
6286,42101828281-0,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6287,42101809836-8,M,Trujillo,OU,1-Mestrado/Doutorado,1,Lima - PERU,2017
6288,42101809593-5,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6289,42101834157-8,M,Santos,SP,1-Mestrado/Doutorado,1,Santo André - SP,2017
6290,42102821780-5,M,Campinas,SP,2-Autoavaliação,2,Campinas - SP,2017
6291,42101809931-5,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6292,42101821389-2,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6293,42101833088-9,M,Guapó,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6294,42101835656-0,F,Feira de Santana,BA,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6295,42101809696-2,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6296,42101820894-0,M,Maturéia,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6297,42101811188-2,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6298,42101831046-3,M,Passo Fundo,RS,1-Mestrado/Doutorado,1,Erechim - RS,2017
6299,42101811215-2,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasilia - DF,2017
6300,42101809548-4,M,Capanema,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6301,42101820405-8,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6302,42101809533-6,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6303,42101823023-4,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
6304,42101809463-3,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6305,42101811868-7,M,São Bernardo do Campo,SP,1-Mestrado/Doutorado,1,Santo André - SP,2017
6306,42101809390-0,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
6307,42101833719-2,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6308,42101827510-8,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
6309,42102809944-7,M,Teresina,PI,2-Autoavaliação,2,Teresina - PI,2017
6310,42101810619-5,M,Arapiraca,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
6311,42102810446-9,M,Dom Expedito Lopes,PI,2-Autoavaliação,2,São Luiz - MA,2017
6312,42101811190-0,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
